,date,symbol,open,close,low,high,volume
78630,2010-09-01,DVA,32.5200005,31.9400005,31.8099995,32.7299995,3146200.0
79099,2010-09-02,DVA,32.095001,31.995001,31.715,32.16,2544000.0
79568,2010-09-03,DVA,32.1049995,32.1500015,31.995001,32.25,1935000.0
80037,2010-09-07,DVA,32.1100005,32.2649995,31.9050005,32.630001,1756800.0
80506,2010-09-08,DVA,32.205002,32.3199995,32.084999,32.424999,1144000.0
80975,2010-09-09,DVA,32.59,32.450001,32.419998,32.6899985,1305600.0
81444,2010-09-10,DVA,32.4449995,32.5200005,32.325001,32.6150015,786200.0
81913,2010-09-13,DVA,32.674999,32.290001,32.1150015,32.8050005,1419600.0
82382,2010-09-14,DVA,32.2249985,31.6000005,31.5300005,32.375,3421600.0
82851,2010-09-15,DVA,31.674999,32.630001,31.67,32.6349985,2555200.0
83320,2010-09-16,DVA,32.5250015,32.3549995,32.1500015,32.654999,1551000.0
83789,2010-09-17,DVA,32.470001,32.465,32.299999,32.705002,1528600.0
84258,2010-09-20,DVA,32.6100005,32.994999,32.535,33.09,1048200.0
84727,2010-09-21,DVA,33.0649985,33.2700005,32.9399985,33.715,2550200.0
85196,2010-09-22,DVA,33.220001,33.044998,32.880001,33.220001,1412200.0
85665,2010-09-23,DVA,32.794998,33.1450005,32.5649985,33.544998,2198800.0
86134,2010-09-24,DVA,33.419998,33.8149985,33.3899995,34.2249985,2474600.0
86603,2010-09-27,DVA,33.845001,33.6899985,33.6800005,33.9449995,1726600.0
87072,2010-09-28,DVA,33.7700005,34.2400015,33.66,34.2750015,2274200.0
87541,2010-09-29,DVA,34.1949995,34.4749985,34.075001,34.6949995,4090400.0
88010,2010-09-30,DVA,34.6150015,34.5149995,34.279999,34.709999,2581200.0
88479,2010-10-01,DVA,34.580002,34.4350015,34.299999,34.9850005,2566400.0
88948,2010-10-04,DVA,34.4350015,34.119999,33.9399985,34.4350015,1810800.0
89417,2010-10-05,DVA,34.4300005,34.6049995,34.1899985,34.705002,2813800.0
89886,2010-10-06,DVA,34.5649985,34.7649995,34.5,34.834999,2315400.0
90355,2010-10-07,DVA,34.8050005,35.8050005,34.794998,35.959999,3964800.0
90824,2010-10-08,DVA,35.8849985,36.0699995,35.790001,36.16,2263600.0
91293,2010-10-11,DVA,36.0649985,35.965,35.6100005,36.0699995,2069000.0
91762,2010-10-12,DVA,35.2750015,35.415001,35.25,35.7249985,2778400.0
92231,2010-10-13,DVA,35.450001,35.41,35.330002,35.5600015,2657200.0
92700,2010-10-14,DVA,35.5149995,35.8199995,35.3950005,36.0250015,1737400.0
93169,2010-10-15,DVA,36.044998,36.1500015,35.8149985,36.25,1731000.0
93638,2010-10-18,DVA,36.0999985,36.215,35.470001,36.299999,2712400.0
94107,2010-10-19,DVA,35.8950005,35.6150015,35.450001,36.0699995,1815400.0
94576,2010-10-20,DVA,35.630001,36.130001,35.345001,36.2299995,2019200.0
95045,2010-10-21,DVA,36.0699995,35.959999,35.465,36.4799995,2204400.0
95514,2010-10-22,DVA,35.9449995,35.825001,35.7649995,36.040001,1598000.0
95983,2010-10-25,DVA,36.0149995,35.8849985,35.7700005,36.1800005,1198200.0
96452,2010-10-26,DVA,35.6949995,35.6450005,35.424999,35.799999,1471000.0
96921,2010-10-27,DVA,35.4350015,35.41,35.205002,35.7350005,1608200.0
97390,2010-10-28,DVA,35.5699995,35.584999,35.345001,35.669998,1190400.0
97859,2010-10-29,DVA,35.4850005,35.875,35.4350015,36.169998,1312000.0
98328,2010-11-01,DVA,36.035,36.334999,36.029999,36.5099985,1557400.0
98797,2010-11-02,DVA,36.5,36.700001,36.404999,36.8950005,1604200.0
99266,2010-11-03,DVA,36.674999,36.029999,35.834999,36.779999,1476600.0
99735,2010-11-04,DVA,36.174999,36.165001,35.790001,36.3899995,2388000.0
100204,2010-11-05,DVA,35.16,35.8849985,33.34,36.3600005,2939000.0
100673,2010-11-08,DVA,35.84,36.0149995,35.755001,36.0999985,1153400.0
101142,2010-11-09,DVA,36.005001,36.049999,35.9300005,36.299999,1718000.0
101611,2010-11-10,DVA,36.005001,36.035,35.5600015,36.0550005,1817400.0
102080,2010-11-11,DVA,35.830002,36.8050005,35.8149985,36.834999,1626800.0
102549,2010-11-12,DVA,36.705002,36.4449995,36.424999,36.705002,1600600.0
103018,2010-11-15,DVA,36.4350015,36.0149995,36.0099985,36.4350015,1665600.0
103487,2010-11-16,DVA,35.8849985,35.625,35.450001,36.1500015,2351400.0
103956,2010-11-17,DVA,35.595001,35.6800005,35.459999,36.1949995,3177200.0
104425,2010-11-18,DVA,35.904999,36.16,35.8199995,36.330002,2010600.0
104895,2010-11-19,DVA,36.1949995,36.549999,36.1100005,36.75,1538400.0
105365,2010-11-22,DVA,36.5099985,36.6399995,36.3849985,36.84,2512800.0
105835,2010-11-23,DVA,36.334999,36.174999,36.0149995,36.334999,1143400.0
106305,2010-11-24,DVA,36.1949995,36.470001,36.1949995,36.654999,1893400.0
106775,2010-11-26,DVA,36.34,36.215,36.1899985,36.465,427600.0
107245,2010-11-29,DVA,36.1049995,36.1399995,35.755001,36.334999,943800.0
107715,2010-11-30,DVA,35.9850005,36.3499985,35.7750015,36.580002,1589000.0
108185,2010-12-01,DVA,36.669998,37.0200005,36.669998,37.3050005,1105800.0
108655,2010-12-02,DVA,37.0149995,37.0550005,36.959999,37.25,1522400.0
109125,2010-12-03,DVA,36.959999,37.044998,36.794998,37.080002,1486200.0
109595,2010-12-06,DVA,37.044998,36.700001,36.6899985,37.09,778600.0
110065,2010-12-07,DVA,36.84,36.1049995,35.9850005,36.9350015,2067600.0
110535,2010-12-08,DVA,36.084999,35.845001,35.7299995,36.1949995,1872600.0
111005,2010-12-09,DVA,35.869999,35.799999,35.665001,36.084999,1712200.0
111475,2010-12-10,DVA,36.154999,35.66,35.619999,36.544998,2215400.0
111945,2010-12-13,DVA,35.6899985,35.3600005,35.1800005,35.825001,2003000.0
112415,2010-12-14,DVA,35.25,35.6450005,35.2400015,35.6949995,1265000.0
112885,2010-12-15,DVA,35.6049995,35.369999,35.3050005,36.1349985,1589800.0
113355,2010-12-16,DVA,35.299999,34.8549995,34.575001,35.3600005,3123200.0
113825,2010-12-17,DVA,34.7649995,35.005001,34.5649985,35.1949995,2463400.0
114295,2010-12-20,DVA,35.165001,34.5699995,34.4300005,35.2299995,1334200.0
114765,2010-12-21,DVA,34.674999,34.669998,34.6349985,35.0649985,1878600.0
115235,2010-12-22,DVA,34.6399995,35.0250015,34.5699995,35.0999985,1317800.0
115705,2010-12-23,DVA,34.924999,34.709999,34.6899985,35.0200005,544200.0
116175,2010-12-27,DVA,34.709999,34.7649995,34.535,34.915001,623000.0
116645,2010-12-28,DVA,34.7649995,34.7350005,34.404999,34.785,975800.0
117115,2010-12-29,DVA,34.75,34.5200005,34.5200005,34.755001,1204200.0
117585,2010-12-30,DVA,34.535,34.8950005,34.5250015,35.0099985,1061000.0
118055,2010-12-31,DVA,34.834999,34.744999,34.669998,34.959999,809400.0
118525,2011-01-03,DVA,34.9399985,34.654999,34.619999,35.1800005,1857600.0
118995,2011-01-04,DVA,34.8149985,35.16,34.549999,35.209999,2047200.0
119465,2011-01-05,DVA,35.084999,34.7299995,34.6850015,35.1450005,1959200.0
119935,2011-01-06,DVA,34.715,34.535,34.505001,34.924999,1847200.0
120405,2011-01-07,DVA,34.5250015,34.6100005,34.0699995,34.715,1295400.0
120875,2011-01-10,DVA,34.465,34.6949995,34.424999,34.7299995,1217200.0
121345,2011-01-11,DVA,34.825001,35.0,34.75,35.209999,951000.0
121815,2011-01-12,DVA,35.0649985,34.8549995,34.5649985,35.0649985,1180400.0
122285,2011-01-13,DVA,34.8549995,35.1049995,34.785,35.1049995,950200.0
122755,2011-01-14,DVA,35.049999,35.6049995,35.0250015,35.654999,2117600.0
123225,2011-01-18,DVA,35.505001,35.630001,35.16,35.705002,2846800.0
123695,2011-01-19,DVA,35.4749985,35.5649985,35.290001,35.7599985,1295800.0
124165,2011-01-20,DVA,35.5200005,35.419998,35.255001,35.7249985,1337000.0
124635,2011-01-21,DVA,35.6150015,35.3499985,35.130001,35.705002,2195000.0
